FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Nguyễn Như Minh,Male,MAT,,ISFJ,"Football, Food tour, Painting, K-pop",Video call,Study supporter,"Physics, Artificial Intelligence",Online,Early Morning
Nguyễn Quang Minh,Male,SST,,INFJ,"Coffee, Tea",In-person (face-to-face),Chit Chatting,"Environment, Programming, Health Care, Linear Algebra, Artificial Intelligence",Library,Early Morning
Trần Hải Nam,Male,Pharmacy,,ENFJ,"Bowling, Coffee, Tea, Politics, K-pop",Text message,Study supporter,"Physics, Environment","Library, Café, Bookstore",Midnight
Đỗ Kim Ngọc,Male,Pharmacy,,ISFP,"Hiphop, Gym, V-pop, Volleyball, Politics",In-person (face-to-face),Share knowledge,Chemistry,"Online, Home",Overnight
Nguyễn Cao Bình Nguyên,Male,SST,,ESFJ,"Skiing, Swimming, Ballet",Video call,Study supporter,Health Care,"Café, Bookstore",Evening
Nguyễn Nhật Quang,Male,MST,,ISTJ,"Skateboarding, Volleyball, Badminton, Alcoholic, Hiphop",Text message,Study supporter,Calculus,"Café, Online",Night
Nguyễn Hoàng Quân,Male,FST,,INTJ,"Badminton, Football",Text message,Share knowledge,"Linear Algebra, Artificial Intelligence, Calculus, Chemistry",Bookstore,Early Morning
Phạm Hồng Quân,Male,EER,,ESFJ,"Makeup, Karate, Yoga",Video call,Chit Chatting,Programming,Home,Night
Nguyễn Quyền,Male,SIC,,ISTJ,"Jogging, Basketball, Gym, EDM, Football",Phone call,Share knowledge,"Health Care, Linear Algebra, Electronic, Biology, Environment",Library,Early Morning
Hoàng Công Tâm,Male,AE,,ESFP,"Jogging, Study",Video call,Chit Chatting,Environment,"Online, Café",Midnight
Trần Đình Tâm,Male,MST,,ISFP,"DIY, Football, Rap",Video call,Share knowledge,Environment,"Café, Home",Midnight
Phạm Hữu Thắng,Male,MAT,,INTJ,Badminton,In-person (face-to-face),Chit Chatting,"Biology, Environment, Practical laboratory, Artificial Intelligence",Home,Early Morning
Lê Thanh Toàn,Male,CS,,ENTP,"Netflix, Anime, Hiphop",Phone call,Share knowledge,"Physics, Artificial Intelligence, Chemistry, Health Care, Practical laboratory","Café, Home, Online",Evening
Nguyễn Khắc Toàn,Male,AMS,,ESTJ,Travel,Text message,Study supporter,"Linear Algebra, Chemistry, Electronic, Environment, Biology",Online,Midnight
Nguyễn Văn Trường,Male,SST,,INFP,"Skateboarding, Basketball",Phone call,Share knowledge,"Calculus, Biology, Health Care",Café,Midnight
Nguyễn Anh Tuấn,Male,SIC,,ISFJ,"Vlogging, Jogging, Table tennis, V-pop",Text message,Study supporter,"Environment, Biology, Linear Algebra, Health Care, Artificial Intelligence",Online,Early Morning
Nguyễn Văn Tuấn,Male,FST,,ISFP,Badminton,Phone call,Chit Chatting,Physics,"Online, Café, Bookstore",Evening
Phan Anh Tuấn,Male,MST,,ENTP,"Bowling, Food tour, Board games",Phone call,Chit Chatting,"Biology, Health Care, Linear Algebra, Electronic, Calculus","Home, Online",Overnight
Đinh Xuân Việt,Male,ATE,,INFP,"Politics, Football",Video call,Study supporter,"Electronic, Physics, Artificial Intelligence","Bookstore, Home, Library",Night
Đào Anh Vũ,Male,Pharmacy,,ISTP,EDM,Phone call,Study supporter,"Artificial Intelligence, Linear Algebra, Chemistry",Home,Early Morning
Trần Quang Vương,Male,CS,,ESFP,"K-pop, Hiphop, Skateboarding",Text message,Share knowledge,Artificial Intelligence,"Café, Library",Early Morning
Vũ Phương Đông,Male,Pharmacy,,ISFJ,"Skiing, EDM, Bowling, V-pop",Phone call,Share knowledge,Health Care,"Library, Home",Overnight
Lê Minh Đức,Male,MAT,,ISFP,"Board games, Rap, Alcoholic, Karate, Food tour",Phone call,Study supporter,"Health Care, Calculus, Physics","Library, Online",Overnight
Đặng Ngọc Hải,Male,EER,,ISFJ,"Makeup, Food tour, Rap, Yoga",Video call,Study supporter,"Practical laboratory, Physics, Electronic, Programming, Environment","Café, Bookstore, Library",Early Morning
Lê Trung Hiếu,Male,DS,,ESFP,"Jogging, Dancing",Phone call,Share knowledge,"Programming, Health Care, Practical laboratory","Bookstore, Online",Night
Nguyễn Ngọc Huy,Male,MST,,ISTJ,Skateboarding,In-person (face-to-face),Study supporter,"Physics, Chemistry, Biology","Library, Online",Overnight
Nguyễn Phúc Lam,Male,SST,,INFP,"Board games, Skateboarding, Volleyball, Korean food",Text message,Share knowledge,Health Care,"Café, Library",Night
Trần Hải Long,Male,MST,,INFP,"Skiing, Ballet",Phone call,Chit Chatting,"Health Care, Artificial Intelligence, Biology, Environment","Library, Café, Online",Midnight
Chu Mạnh,Male,SST,,ENTP,Painting,Video call,Chit Chatting,"Linear Algebra, Practical laboratory","Library, Bookstore, Café",Early Morning
Nguyễn Hữu Minh,Male,ATE,,ISFJ,"Politics, Badminton",Video call,Study supporter,"Biology, Chemistry, Health Care, Programming, Physics",Bookstore,Early Morning
Trần Hải Nam,Male,MAT,,ISFJ,Politics,In-person (face-to-face),Study supporter,"Biology, Programming, Environment, Chemistry, Linear Algebra","Café, Online",Early Morning
Lê Thị Uyên Nhi,Female,DS,,ENFJ,"K-pop, Karate",Phone call,Chit Chatting,"Artificial Intelligence, Environment, Programming",Library,Evening
Phạm Đức Quang,Male,ICT,,ESTP,"Yoga, Bowling",Phone call,Chit Chatting,"Environment, Calculus, Programming, Practical laboratory","Bookstore, Café",Evening
Nguyễn Đức Toàn,Male,SST,,INTP,"Skiing, Football, Rap, Netflix",Text message,Chit Chatting,"Practical laboratory, Programming","Online, Bookstore, Home",Overnight
Đỗ Đức Trọng,Male,ICT,,ESTP,Movie,Video call,Chit Chatting,"Biology, Environment, Linear Algebra, Artificial Intelligence, Chemistry","Café, Bookstore",Midnight
Nguyễn Văn Trung,Male,EER,,ISFP,"Yoga, Art",Phone call,Study supporter,"Artificial Intelligence, Practical laboratory, Chemistry, Biology, Health Care",Library,Midday
Bùi Thiên Trường,Male,FST,,INTP,"Investment, Basketball, Rap",Phone call,Study supporter,"Physics, Artificial Intelligence",Café,Midday
Chu Hữu Trường,Male,ICT,,ISFJ,Baseball,Video call,Chit Chatting,"Electronic, Chemistry",Café,Midnight
Trần Minh Tú,Male,MST,,ENFJ,Gym,Video call,Study supporter,"Calculus, Chemistry, Physics, Environment, Health Care","Bookstore, Home",Night
Đỗ Văn Vũ,Male,CS,,INTJ,Gym,In-person (face-to-face),Share knowledge,"Artificial Intelligence, Biology, Calculus, Chemistry, Linear Algebra",Home,Midday
Lê Vũ Khoa Bảo,Male,DS,,INTP,"Politics, Hiphop, Anime",Video call,Study supporter,"Artificial Intelligence, Environment, Calculus, Linear Algebra, Physics",Library,Overnight
Nguyễn Thủy Chi,Female,SIC,,ESTJ,"Travel, Investment, Alcoholic, V-pop",Phone call,Share knowledge,"Chemistry, Health Care, Linear Algebra, Practical laboratory, Environment","Library, Bookstore",Overnight
Lê Thành Công,Male,AMS,,ENFP,"Gym, Rap, Vlogging, Badminton",Text message,Study supporter,"Electronic, Programming",Online,Midday
Nguyễn Chí Công,Male,AMS,,INTP,"Taekwondo, Korean food, Makeup, Coffee, Tea",Video call,Chit Chatting,"Physics, Programming, Calculus, Environment, Biology","Online, Bookstore",Night
Nguyễn Đăng Dương,Male,AES,,ISFP,Food tour,Text message,Share knowledge,"Artificial Intelligence, Linear Algebra, Calculus, Chemistry, Physics",Café,Evening
Hoàng Kim Đức,Male,BIT,,ESFP,"Table tennis, Yoga, Politics, Painting",Video call,Study supporter,Artificial Intelligence,"Online, Home",Midday
Lê Văn Hiếu,Male,CH,,ESFJ,Basketball,Text message,Chit Chatting,"Electronic, Health Care, Environment",Library,Evening
Hoàng Việt Hùng,Male,AMS,,ENTJ,"Volleyball, Cooking, Yoga, Rap",Phone call,Share knowledge,"Calculus, Linear Algebra, Practical laboratory, Health Care, Environment","Bookstore, Café",Night
Đỗ Hùng Huy,Male,SST,,ESTJ,"Gym, DIY, Travel, Makeup",In-person (face-to-face),Chit Chatting,"Physics, Biology, Calculus, Chemistry",Café,Early Morning
Phí Công Hưng,Male,CH,,ISFJ,Hiphop,Video call,Study supporter,"Environment, Programming",Library,Midday
Nguyễn Quốc Khánh,Male,SST,,INTP,"Hiphop, Makeup, Yoga",In-person (face-to-face),Share knowledge,"Physics, Health Care, Programming","Bookstore, Library, Online",Overnight
Nguyễn Quốc Khánh,Male,AMS,,ESFP,"Table tennis, Food tour, Anime",Video call,Chit Chatting,"Linear Algebra, Biology, Chemistry, Calculus, Environment","Online, Library, Bookstore",Midnight
Nguyễn Đức Khôi,Male,AMS,,ISFP,"Baseball, Netflix",Phone call,Chit Chatting,"Artificial Intelligence, Practical laboratory, Biology","Home, Bookstore",Midnight
Phùng Ngọc Mai,Female,Pharmacy,,ESFJ,singing,In-person (face-to-face),Share knowledge,"Environment, Programming, Health Care, Calculus, Linear Algebra","Café, Bookstore",Midday
Đặng Tuấn Minh,Male,ATE,,ENFJ,"Karate, Rap",Text message,Chit Chatting,"Chemistry, Practical laboratory","Library, Café, Home",Early Morning
Phạm Ngọc Quang Minh,Male,FST,,ESFP,"Bowling, singing, Yoga",Text message,Chit Chatting,"Artificial Intelligence, Linear Algebra",Online,Early Morning
Trần Phương Nam,Male,SIC,,INTP,"Yoga, Politics, Skiing",In-person (face-to-face),Share knowledge,"Biology, Physics","Bookstore, Library, Online",Night
Hà Văn Ninh,Male,CS,,ESTP,"Board games, Anime, Volleyball, singing, Makeup",In-person (face-to-face),Study supporter,"Practical laboratory, Artificial Intelligence, Calculus, Electronic, Health Care","Library, Café, Home",Midday
Nguyễn Bảo Phúc,Male,BIT,,ESFP,"singing, Skiing, Yoga, Baseball",Video call,Study supporter,"Artificial Intelligence, Environment, Calculus","Bookstore, Home, Library",Night
Nguyễn Hoàng Phúc,Male,BIT,,ESFP,"Painting, Travel, Basketball, Gym, Bowling",Phone call,Share knowledge,"Biology, Practical laboratory, Electronic, Chemistry, Physics","Library, Home, Online",Midnight
Mai Anh Tuấn,Male,ATE,,ENTP,"K-pop, Anime, Skiing, Travel",Video call,Chit Chatting,"Electronic, Calculus, Artificial Intelligence, Biology, Chemistry","Home, Café, Library",Evening
Đào Hà Đức Anh,Male,CS,,ENTP,"Baseball, K-pop, Board games, Bowling",Text message,Study supporter,"Health Care, Environment","Café, Online, Home",Night
Nguyễn Ngọc Anh,Female,CS,,ISFJ,"Politics, Makeup, Coffee, Tea, singing",Phone call,Share knowledge,"Physics, Practical laboratory","Online, Library",Midday
Nguyễn Việt Anh,Male,ATE,,INFP,"Badminton, K-pop",In-person (face-to-face),Chit Chatting,"Chemistry, Physics","Café, Online",Overnight
Trần Hồng Anh,Female,DS,,ESTJ,"Board games, Bowling, Painting, singing",Text message,Chit Chatting,Programming,Bookstore,Midnight
Trần Thị Phương Anh,Female,EER,,ENFJ,Politics,Video call,Chit Chatting,"Artificial Intelligence, Practical laboratory, Programming, Electronic, Chemistry","Café, Online, Bookstore",Evening
Trần Thị Vân Anh,Female,MST,,INFJ,"Jogging, Art, Painting, Ballet",Video call,Study supporter,"Electronic, Chemistry, Biology",Bookstore,Overnight
Nguyễn Lâm Bách,Male,SST,,INFP,"Jogging, Yoga, singing, Korean food, Investment",Text message,Study supporter,"Physics, Environment, Artificial Intelligence, Calculus","Library, Home, Online",Night
Nguyễn Đình Dũng,Male,EER,,ISTP,"Food tour, Coffee, Tea, Basketball, Dancing, V-pop",Phone call,Share knowledge,"Chemistry, Environment, Programming",Bookstore,Early Morning
Hoàng Lệ Duyên,Female,MAT,,ESFJ,"Coffee, Tea, Skateboarding, Investment, Hiphop, Cooking",In-person (face-to-face),Share knowledge,"Calculus, Artificial Intelligence, Environment",Café,Night
Nguyễn Minh Đồng,Male,SIC,,ESTJ,"Karate, Politics, Alcoholic, Movie",In-person (face-to-face),Chit Chatting,"Electronic, Programming, Environment, Physics",Online,Overnight
Hoàng Anh Đức,Male,MST,,INFP,"Swimming, Painting, Table tennis",Phone call,Chit Chatting,"Artificial Intelligence, Electronic, Linear Algebra, Programming","Café, Bookstore",Midday
Lưu Nguyễn Tài Đức,Male,AE,,ENTP,"Swimming, Gym, Alcoholic, Investment, Netflix",Phone call,Share knowledge,"Environment, Health Care, Artificial Intelligence, Electronic","Library, Home",Night
Nguyễn Anh Đức,Male,Pharmacy,,ENTP,EDM,Text message,Chit Chatting,"Linear Algebra, Physics, Environment, Electronic","Online, Bookstore",Midday
Nguyễn Thị Kim Giang,Female,ATE,,INTJ,"Korean food, Vlogging, Movie, singing",Text message,Study supporter,"Electronic, Biology","Bookstore, Home, Café",Overnight
Vũ Khả Hào,Male,MAT,,ESTP,"singing, Table tennis, Yoga, Baseball",Video call,Share knowledge,"Practical laboratory, Calculus, Programming","Bookstore, Online, Home",Midnight
Lê Hồng Hoa,Female,SIC,,INFP,"Board games, Food tour",In-person (face-to-face),Chit Chatting,Physics,Home,Midday
Nguyễn Đức Duy Hưng,Male,Pharmacy,,ENTP,"Hiphop, Coffee, Tea, Alcoholic",Video call,Share knowledge,"Calculus, Health Care","Online, Café, Home",Midday
Nguyễn Quỳnh Hương,Female,MAT,,ENFP,DIY,Phone call,Share knowledge,"Practical laboratory, Artificial Intelligence, Linear Algebra",Bookstore,Early Morning
Hồ Ngọc Gia Khánh,Male,EER,,ESTP,"Baseball, K-pop, Skiing",Phone call,Chit Chatting,"Biology, Linear Algebra, Environment, Physics",Home,Early Morning
Nguyễn Thị Khánh,Female,BIT,,INFJ,"Gym, Vlogging, Study",Video call,Share knowledge,"Calculus, Practical laboratory, Chemistry","Online, Library, Bookstore",Night
Trần Hoàng Khôi,Male,EER,,ENTJ,"Makeup, Dancing, DIY, Movie, Food tour",Video call,Study supporter,"Practical laboratory, Physics, Programming, Artificial Intelligence","Bookstore, Library, Café",Midnight
Nguyễn Đăng Anh Kiệt,Male,DS,,ISTJ,Badminton,Video call,Study supporter,"Practical laboratory, Health Care, Biology, Physics","Home, Online",Overnight
Nguyễn Tùng Lâm,Male,SST,,INFP,"Travel, Investment",Phone call,Study supporter,"Biology, Linear Algebra, Artificial Intelligence, Chemistry, Electronic","Bookstore, Online",Night
Ngô Thành Lân,Male,SIC,,ENTJ,"Politics, DIY, Hiphop, V-pop",Text message,Study supporter,"Calculus, Electronic, Environment",Bookstore,Night
Ngô Phương Linh,Female,MAT,,ISTP,"Skiing, Skateboarding, Yoga",In-person (face-to-face),Study supporter,"Biology, Linear Algebra, Programming, Chemistry, Physics","Bookstore, Library, Café",Night
Nguyễn Nhật Linh,Female,MAT,,ISTP,"Travel, Taekwondo, V-pop, Jogging, Art",Video call,Study supporter,"Chemistry, Biology, Programming, Linear Algebra","Bookstore, Home, Café",Overnight
Đỗ Văn Mạnh,Male,CS,,ISFJ,"Baseball, Investment, Skiing",In-person (face-to-face),Study supporter,Chemistry,"Bookstore, Café",Midnight
Lê Hữu Nhật Minh,Male,CS,,ISFJ,Movie,Phone call,Study supporter,"Health Care, Programming, Artificial Intelligence, Environment",Home,Midday
Nguyễn Hồng Minh,Female,AES,,ENFP,"Baseball, Bowling, DIY, Investment, Dancing",In-person (face-to-face),Study supporter,Linear Algebra,"Café, Online, Home",Midnight
Trần Tuấn Nghĩa,Male,ICT,,ESFP,"Table tennis, Volleyball, V-pop, Swimming, Rap",Phone call,Study supporter,"Biology, Chemistry, Environment, Electronic","Home, Café",Early Morning
Trần Thị Thu Nguyệt,Female,BIT,,ENFJ,Badminton,Video call,Study supporter,"Electronic, Calculus, Environment","Online, Home, Bookstore",Overnight
Đỗ Thị Phương Oanh,Female,CS,,INFP,"Bowling, Netflix, Painting",Video call,Share knowledge,"Calculus, Linear Algebra, Electronic","Bookstore, Online",Midday
Vũ Minh Quân,Male,SIC,,INFP,Football,Text message,Study supporter,"Artificial Intelligence, Electronic, Programming, Environment, Chemistry","Home, Bookstore, Library",Night
Nông Đức Sơn,Male,CH,,ENFJ,"Coffee, Tea, Yoga, Skiing, Football",Video call,Share knowledge,"Calculus, Programming","Home, Library, Bookstore",Early Morning
Hoàng Thị Tâm,Female,CH,,ENFJ,"Table tennis, Karate, Cooking, singing",In-person (face-to-face),Study supporter,"Health Care, Electronic, Programming, Chemistry","Home, Online",Midnight
Trần Đức Thành,Male,CS,,ENTJ,"Painting, Cooking",Video call,Chit Chatting,"Electronic, Environment, Physics, Programming, Chemistry",Library,Midnight
Đinh Thị Thảo,Female,CH,,INTP,"Skateboarding, Swimming",Phone call,Share knowledge,"Programming, Calculus, Artificial Intelligence, Physics, Chemistry","Library, Online, Bookstore",Evening
Phạm Xuân Thật,Male,MST,,ENFP,"Skateboarding, DIY, Netflix, Politics",Video call,Share knowledge,"Physics, Electronic, Calculus, Programming",Bookstore,Night
Đinh Văn Thi,Male,AES,,ENFP,"Baseball, Investment",Phone call,Study supporter,"Chemistry, Programming, Environment, Electronic, Practical laboratory","Bookstore, Library",Night
Đặng Minh Thư,Female,DS,,ENTP,"Coffee, Tea, Skiing",Video call,Study supporter,Biology,"Café, Online, Library",Evening
Lâm Văn Trà,Male,AES,,ESFJ,Travel,In-person (face-to-face),Study supporter,"Programming, Calculus","Café, Library, Online",Midday
Lê Quỳnh Trang,Female,MAT,,ESFP,"Ballet, Football, Rap, Taekwondo",Video call,Study supporter,"Artificial Intelligence, Electronic, Biology, Environment","Online, Bookstore, Home",Early Morning
Lê Hà Vi,Female,SIC,,ISFP,"K-pop, Ballet, Movie, Netflix",In-person (face-to-face),Study supporter,Linear Algebra,"Online, Bookstore, Café",Midnight
Đặng Nguyễn Mai Vy,Female,SIC,,INFJ,"Volleyball, Painting, Travel, Gym, Football",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Calculus, Health Care, Practical laboratory","Library, Online, Café",Midday
Đỗ Thị An,Female,EER,,ESTJ,"DIY, Board games",Phone call,Study supporter,"Calculus, Chemistry, Environment, Electronic, Health Care","Online, Home, Library",Evening
Nguyễn Ngọc Anh,Female,Pharmacy,,INFP,"Coffee, Tea, Food tour, Gym, Basketball, DIY",In-person (face-to-face),Chit Chatting,Artificial Intelligence,"Café, Online, Bookstore",Evening
Trần Nhật Anh,Female,AE,,INFJ,Skiing,Phone call,Study supporter,"Physics, Artificial Intelligence, Calculus, Linear Algebra, Health Care","Online, Home, Library",Evening
Trần Vũ Quỳnh Anh,Female,AMS,,ENTP,"Movie, EDM, Table tennis",Phone call,Chit Chatting,Electronic,"Home, Online, Bookstore",Night
Huỳnh Minh Châu,Female,MST,,INTP,Football,Video call,Study supporter,"Programming, Artificial Intelligence",Bookstore,Midday
